platform_number,latitude,longitude,date,cycle_number,pressure,temperature,salinity
1901049,-6.503,57.923,,376,5.0,29.155000686645508,34.90700149536133
1901049,-6.503,57.923,,376,9.300000190734863,29.082000732421875,35.0880012512207
1901049,-6.503,57.923,,376,19.600000381469727,28.474000930786133,35.20899963378906
1901049,-6.503,57.923,,376,29.5,27.975000381469727,35.22200012207031
1901049,-6.503,57.923,,376,39.79999923706055,27.31100082397461,35.23500061035156
1901049,-6.503,57.923,,376,49.70000076293945,25.110000610351562,35.26599884033203
1901049,-6.503,57.923,,376,59.29999923706055,23.72800064086914,35.26599884033203
1901049,-6.503,57.923,,376,69.30000305175781,23.322999954223633,35.262001037597656
1901049,-6.503,57.923,,376,79.5,22.195999145507812,35.257999420166016
1901049,-6.503,57.923,,376,89.5,21.0049991607666,35.257999420166016
1901049,-6.503,57.923,,376,99.30000305175781,20.55900001525879,35.25400161743164
1901049,-6.503,57.923,,376,109.30000305175781,20.086000442504883,35.24700164794922
1901049,-6.503,57.923,,376,119.5,18.641000747680664,35.23400115966797
1901049,-6.503,57.923,,376,129.1999969482422,17.356000900268555,35.231998443603516
1901049,-6.503,57.923,,376,139.5,16.913000106811523,35.229000091552734
1901049,-6.503,57.923,,376,149.1999969482422,16.67300033569336,35.22800064086914
1901049,-6.503,57.923,,376,158.8000030517578,16.48699951171875,35.222999572753906
1901049,-6.503,57.923,,376,169.10000610351562,16.420000076293945,35.21099853515625
1901049,-6.503,57.923,,376,179.39999389648438,15.876999855041504,35.159000396728516
1901049,-6.503,57.923,,376,188.89999389648438,15.10200023651123,35.137001037597656
1901049,-6.503,57.923,,376,198.6999969482422,14.618000030517578,35.124000549316406
1901049,-6.503,57.923,,376,208.6999969482422,14.425000190734863,35.11800003051758
1901049,-6.503,57.923,,376,218.6999969482422,13.812000274658203,35.11199951171875
1901049,-6.503,57.923,,376,228.3000030517578,13.621999740600586,35.10499954223633
1901049,-6.503,57.923,,376,238.5,13.609999656677246,35.10100173950195
1901049,-6.503,57.923,,376,249.3000030517578,13.140999794006348,35.08300018310547
1901049,-6.503,57.923,,376,258.8999938964844,12.913999557495117,35.071998596191406
1901049,-6.503,57.923,,376,268.6000061035156,12.718999862670898,35.051998138427734
1901049,-6.503,57.923,,376,278.70001220703125,12.559000015258789,35.06399917602539
1901049,-6.503,57.923,,376,289.1000061035156,12.368000030517578,35.055999755859375
1901049,-6.503,57.923,,376,298.79998779296875,12.355999946594238,35.051998138427734
1901049,-6.503,57.923,,376,308.5,12.03600025177002,35.029998779296875
1901049,-6.503,57.923,,376,319.0,11.965999603271484,35.027000427246094
1901049,-6.503,57.923,,376,328.5,11.869000434875488,35.016998291015625
1901049,-6.503,57.923,,376,338.8999938964844,11.718000411987305,35.005001068115234
1901049,-6.503,57.923,,376,349.0,11.684000015258789,35.00199890136719
1901049,-6.503,57.923,,376,358.79998779296875,11.5600004196167,34.992000579833984
1901049,-6.503,57.923,,376,378.8999938964844,11.35200023651123,34.9739990234375
1901049,-6.503,57.923,,376,398.8999938964844,11.244000434875488,34.96099853515625
1901049,-6.503,57.923,,376,449.0,10.180999755859375,34.86399841308594
1901049,-6.503,57.923,,376,499.29998779296875,9.600000381469727,34.82400131225586
1901049,-6.503,57.923,,376,548.9000244140625,9.017999649047852,34.7760009765625
1901049,-6.503,57.923,,376,599.2000122070312,8.729000091552734,34.821998596191406
1901049,-6.503,57.923,,376,648.7000122070312,8.230999946594238,34.805999755859375
1901049,-6.503,57.923,,376,698.9000244140625,8.16100025177002,34.8120002746582
1901049,-6.503,57.923,,376,749.2000122070312,7.824999809265137,34.819000244140625
1901049,-6.503,57.923,,376,799.0999755859375,7.296999931335449,34.81700134277344
1901049,-6.503,57.923,,376,849.5,6.853000164031982,34.805999755859375
1901049,-6.503,57.923,,376,898.9000244140625,6.620999813079834,34.80799865722656
1901049,-6.503,57.923,,376,949.0,6.38100004196167,34.805999755859375
1901049,-6.503,57.923,,376,999.0,6.11899995803833,34.83100128173828
1901049,-6.503,57.923,,376,1049.5,6.020999908447266,34.834999084472656
1901049,-6.503,57.923,,376,1099.0999755859375,5.765999794006348,34.832000732421875
1901049,-6.503,57.923,,376,1149.199951171875,5.386000156402588,34.821998596191406
1901049,-6.503,57.923,,376,1184.4000244140625,5.38700008392334,34.823001861572266
1901049,-6.403,58.243,,377,4.400000095367432,30.155000686645508,34.887001037597656
1901049,-6.403,58.243,,377,8.899999618530273,29.961000442504883,34.880001068115234
1901049,-6.403,58.243,,377,19.0,29.924999237060547,34.88399887084961
1901049,-6.403,58.243,,377,29.299999237060547,29.90399932861328,34.88399887084961
1901049,-6.403,58.243,,377,39.5,29.868999481201172,34.880001068115234
1901049,-6.403,58.243,,377,49.400001525878906,29.158000946044922,35.071998596191406
1901049,-6.403,58.243,,377,59.400001525878906,26.941999435424805,35.2130012512207
1901049,-6.403,58.243,,377,68.80000305175781,25.48200035095215,35.233001708984375
1901049,-6.403,58.243,,377,79.5,25.0,35.27000045776367
1901049,-6.403,58.243,,377,89.5,24.104999542236328,35.30699920654297
1901049,-6.403,58.243,,377,99.0999984741211,23.208999633789062,35.29800033569336
1901049,-6.403,58.243,,377,109.4000015258789,22.187000274658203,35.26300048828125
1901049,-6.403,58.243,,377,119.4000015258789,21.988000869750977,35.25199890136719
1901049,-6.403,58.243,,377,129.5,18.948999404907227,35.22999954223633
1901049,-6.403,58.243,,377,139.5,18.610000610351562,35.20199966430664
1901049,-6.403,58.243,,377,149.3000030517578,17.458999633789062,35.159000396728516
1901049,-6.403,58.243,,377,159.10000610351562,16.645999908447266,35.17100143432617
1901049,-6.403,58.243,,377,169.10000610351562,16.150999069213867,35.16699981689453
1901049,-6.403,58.243,,377,178.6999969482422,15.71399974822998,35.15599822998047
1901049,-6.403,58.243,,377,188.8000030517578,14.86400032043457,35.13199996948242
1901049,-6.403,58.243,,377,198.8000030517578,14.435999870300293,35.125
1901049,-6.403,58.243,,377,208.5,14.300999641418457,35.117000579833984
1901049,-6.403,58.243,,377,218.5,13.87600040435791,35.11000061035156
